order,y_coordinate,x_coordinate,r,g,b,UK_colors,RU_colors
124,7,40,236,153,162,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']","['Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый']"
125,6,0,149,149,149,"['Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Purple', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray']","['Серый', 'Фиолетовый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Синий']"
126,6,1,235,109,119,"['Pink', 'Pink', 'Red', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Red']","['Розовый', 'Розовый', 'Розовый', 'Розовый', 'Красный', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый']"
127,6,2,236,110,106,"['Pink', 'Orange', 'Beige', 'Orange', 'Pink', 'Pink', 'Red', 'Red', 'Red', 'Pink', 'Pink', 'Pink', 'Red', 'Pink', 'Pink', 'Red', 'Pink', 'Red', 'Pink']","['Розовый', 'Оранжевый', 'Розовый', 'Розовый', 'Красный', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Красный', 'Оранжевый', 'Оранжевый']"
128,6,3,236,112,89,"['Pink', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Pink', 'Red', 'Orange', 'Pink', 'Brown', 'Orange', 'Pink', 'Orange', 'Orange', 'Orange', 'Orange']","['Бежевый', 'Розовый', 'Розовый', 'Оранжевый', 'Розовый', 'Оранжевый', 'Оранжевый', 'Розовый', 'Красный', 'Оранжевый', 'Розовый', 'Оранжевый']"
129,6,4,244,108,47,"['Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Pink', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange']","['Коричневый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый']"
130,6,5,240,112,0,"['Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange']","['Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый']"
131,6,6,219,126,21,"['Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Brown', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Brown', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Gold']","['Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Желтый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Коричневый', 'Оранжевый']"
132,6,7,210,132,0,"['Orange', 'Orange', 'Yellow', 'Brown', 'Gold', 'Orange', 'Orange', 'Gold', 'Orange', 'Brown', 'Gold', 'Gold', 'Orange', 'Beige', 'Gold', 'Orange', 'Orange', 'Orange']","['Желтый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Желтый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый']"
133,6,8,200,137,0,"['Orange', 'Orange', 'Gold', 'Orange', 'Orange', 'Gold', 'Orange', 'Brown', 'Gold', 'Orange', 'Orange', 'Brown', 'Orange', 'Brown', 'Orange', 'Brown', 'Orange', 'Brown', 'Brown']","['Оранжевый', 'Коричневый', 'Оранжевый', 'Желтый', 'Оранжевый', 'Бежевый', 'Желтый', 'Зеленый', 'Оранжевый', 'Коричневый', 'Оранжевый', 'Оранжевый']"
134,6,9,187,143,0,"['Yellow', 'Gold', 'Yellow', 'Gold', 'Yellow', 'Brown', 'Gold', 'Yellow', 'Orange', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Brown', 'Gold', 'Brown']","['Коричневый', 'Коричневый', 'Желтый', 'Коричневый', 'Бежевый', 'Желтый', 'Коричневый', 'Коричневый', 'Желтый', 'Оранжевый', 'Желтый']"
135,6,10,176,147,0,"['Yellow', 'Brown', 'Beige', 'Gold', 'Brown', 'Brown', 'Gold', 'Green', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Beige', 'Green', 'Gold', 'Brown', 'Green', 'Green']","['Оранжевый', 'Коричневый', 'Коричневый', 'Желтый', 'Коричневый', 'Коричневый', 'Коричневый', 'Желтый', 'Желтый', 'Коричневый', 'Желтый', 'Коричневый']"
136,6,11,167,151,0,"['Green', 'Gold', 'Green', 'Green', 'Yellow', 'Green', 'Green', 'Gold', 'Green', 'Green', 'Brown', 'Yellow', 'Yellow', 'Green', 'Beige', 'Gold', 'Green', 'Yellow', 'Green']","['Желтый', 'Зеленый', 'Коричневый', 'Бежевый', 'Зеленый', 'Желтый', 'Зеленый', 'Желтый', 'Зеленый', 'Зеленый', 'Коричневый', 'Оранжевый', 'Зеленый', 'Желтый']"
137,6,12,157,154,0,"['Gold', 'Yellow', 'Green', 'Green', 'Green', 'Green', 'Gold', 'Gold', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Yellow', 'Green', 'Green', 'Gold', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Желтый', 'Желтый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Коричневый', 'Зеленый', 'Желтый']"
138,6,13,144,157,0,"['Green', 'Purple', 'Orange', 'Green', 'Yellow', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Beige', 'Green', 'Green', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
139,6,14,127,161,0,"['Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Blue', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Yellow', 'Green', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
140,6,15,91,168,0,"['Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Silver', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Розовый']"
141,6,16,50,171,53,"['Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Brown', 'Green', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
142,6,17,31,170,100,"['Green', 'Green', 'Gray', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Gray', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
143,6,18,0,171,119,"['Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Blue', 'Turquoise', 'Green', 'Green', 'Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Коричневый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
144,6,19,0,171,129,"['Green', 'Green', 'Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Gray', 'Turquoise', 'Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Бирюзовый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Бирюзовый', 'Бирюзовый']"
145,6,20,0,171,138,"['Turquoise', 'Green', 'Turquoise', 'Green', 'Turquoise', 'Green', 'Green', 'Turquoise', 'Green', 'Turquoise', 'Green', 'Turquoise', 'Green', 'Green', 'Green', 'Turquoise', 'Blue', 'Turquoise']","['Зеленый', 'Бирюзовый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Бирюзовый', 'Зеленый', 'Бирюзовый', 'Зеленый', 'Зеленый', 'Зеленый']"
146,6,21,2,168,147,"['Turquoise', 'Turquoise', 'Turquoise', 'Green', 'Green', 'Turquoise', 'Turquoise', 'Blue', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Turquoise', 'Blue', 'Green', 'Turquoise', 'Green']","['Бирюзовый', 'Бирюзовый', 'Лиловый', 'Бирюзовый', 'Зеленый', 'Бирюзовый', 'Бирюзовый', 'Зеленый', 'Синий', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый']"
147,6,22,0,167,158,"['Turquoise', 'Turquoise', 'Blue', 'Green', 'Turquoise', 'Blue', 'Blue', 'Turquoise', 'Green', 'Turquoise', 'Turquoise', 'Blue', 'Turquoise', 'Green', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Blue', 'Turquoise', 'Turquoise']","['Бирюзовый', 'Бирюзовый', 'Зеленый', 'Бирюзовый', 'Зеленый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый']"
148,6,23,0,167,167,"['Turquoise', 'Blue', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Blue', 'Green', 'Turquoise', 'Turquoise', 'Blue', 'Blue', 'Green', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise']","['Бирюзовый', 'Бирюзовый', 'Голубой', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Зеленый', 'Бирюзовый', 'Бирюзовый', 'Голубой', 'Бирюзовый']"
149,6,24,0,166,177,"['Turquoise', 'Turquoise', 'Blue', 'Turquoise', 'Blue', 'Turquoise', 'Turquoise', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Blue']","['Голубой', 'Бирюзовый', 'Голубой', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Синий', 'Голубой', 'Бирюзовый', 'Синий', 'Бирюзовый']"
150,6,25,0,165,186,"['Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Turquoise', 'Blue', 'Blue']","['Голубой', 'Бирюзовый', 'Голубой', 'Голубой', 'Бирюзовый', 'Голубой', 'Бирюзовый', 'Бирюзовый', 'Голубой', 'Голубой', 'Бирюзовый', 'Бирюзовый', 'Голубой']"
151,6,26,25,162,194,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Silver', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']","['Голубой', 'Голубой', 'Синий', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Синий', 'Голубой', 'Синий']"
152,6,27,57,160,198,"['Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Beige', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Yellow']","['Синий', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Синий', 'Бирюзовый', 'Голубой', 'Синий', 'Голубой', 'Голубой', 'Синий']"
153,6,28,35,159,215,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']","['Голубой', 'Синий', 'Голубой', 'Голубой', 'Голубой', 'Синий', 'Голубой', 'Синий', 'Голубой', 'Голубой', 'Голубой', 'Голубой']"
154,6,29,77,155,218,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue']","['Голубой', 'Голубой', 'Голубой', 'Синий', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой']"
155,6,30,102,151,219,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']","['Голубой', 'Голубой', 'Голубой', 'Синий', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Синий', 'Голубой', 'Синий']"
156,6,31,135,146,203,"['Purple', 'Purple', 'Blue', 'Blue', 'Purple', 'Blue', 'Blue', 'Purple', 'Blue', 'Purple', 'Blue', 'Blue', 'Blue', 'Blue', 'Green', 'Blue', 'Blue', 'Blue', 'Blue']","['Фиолетовый', 'Лиловый', 'Лиловый', 'Фиолетовый', 'Голубой', 'Синий', 'Лиловый', 'Фиолетовый', 'Лиловый', 'Синий', 'Бирюзовый', 'Лиловый']"
157,6,32,149,142,200,"['Purple', 'Purple', 'Purple', 'Blue', 'Purple', 'Purple', 'Purple', 'Purple', 'Gray', 'Purple', 'Purple', 'Purple', 'Purple', 'Blue', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple']","['Фиолетовый', 'Лиловый', 'Лиловый', 'Фиолетовый', 'Голубой', 'Фиолетовый', 'Лиловый', 'Лиловый', 'Фиолетовый', 'Лиловый', 'Фиолетовый', 'Фиолетовый']"
158,6,33,161,139,197,"['Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Blue']","['Фиолетовый', 'Лиловый', 'Фиолетовый', 'Фиолетовый', 'Лиловый', 'Фиолетовый', 'Фиолетовый', 'Фиолетовый', 'Лиловый', 'Фиолетовый', 'Лиловый']"
159,6,34,170,136,191,"['Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple']","['Фиолетовый', 'Лиловый', 'Лиловый', 'Лиловый', 'Фиолетовый', 'Фиолетовый', 'Лиловый', 'Лиловый', 'Фиолетовый', 'Лиловый', 'Лиловый', 'Лиловый']"
160,6,35,190,128,192,"['Purple', 'Pink', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple']","['Фиолетовый', 'Лиловый', 'Лиловый', 'Розовый', 'Розовый', 'Лиловый', 'Лиловый', 'Лиловый', 'Лиловый', 'Фиолетовый', 'Розовый', 'Лиловый', 'Фиолетовый']"
161,6,36,198,125,182,"['Purple', 'Purple', 'Pink', 'Pink', 'Purple', 'Pink', 'Purple', 'Purple', 'Gray', 'Pink', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Pink', 'Purple', 'Purple', 'Purple']","['Фиолетовый', 'Лиловый', 'Лиловый', 'Розовый', 'Фиолетовый', 'Лиловый', 'Розовый', 'Розовый', 'Лиловый', 'Лиловый', 'Фиолетовый', 'Лиловый']"
162,6,37,205,123,171,"['Pink', 'Pink', 'Pink', 'Pink', 'Purple', 'Purple', 'Purple', 'Purple', 'Pink', 'Pink', 'Pink', 'Pink', 'Purple', 'Pink', 'Pink', 'Pink', 'Purple', 'Pink', 'Pink', 'Pink', 'Pink']","['Фиолетовый', 'Розовый', 'Лиловый', 'Розовый', 'Лиловый', 'Фиолетовый', 'Розовый', 'Лиловый', 'Розовый', 'Розовый', 'Фиолетовый', 'Розовый']"
163,6,38,212,121,156,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Purple', 'Pink', 'Purple', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']","['Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Оранжевый', 'Розовый', 'Фиолетовый', 'Розовый']"
164,6,39,229,111,146,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Red', 'Pink', 'Pink', 'Pink']","['Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый']"
165,6,40,233,110,132,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Red', 'Pink', 'Pink', 'Pink', 'Pink']","['Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый']"
166,5,0,123,123,123,"['Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Silver', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Silver']","['Коричневый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Фиолетовый', 'Серый']"
167,5,1,217,68,93,"['Pink', 'Red', 'Red', 'Red', 'Red', 'Pink', 'Red', 'Pink', 'Pink', 'Orange', 'Red', 'Pink', 'Red', 'Red', 'Pink', 'Red', 'Red', 'Pink', 'Red', 'Pink']","['Розовый', 'Розовый', 'Розовый', 'Красный', 'Розовый', 'Розовый', 'Красный', 'Розовый', 'Розовый', 'Красный', 'Красный', 'Розовый']"
168,5,2,218,70,74,"['Pink', 'Red', 'Red', 'Pink', 'Red', 'Red', 'Red', 'Pink', 'Pink', 'Pink', 'Red', 'Pink', 'Red', 'Red', 'Red', 'Red', 'Red', 'Red']","['Красный', 'Розовый', 'Красный', 'Красный', 'Красный', 'Красный', 'Красный', 'Розовый', 'Красный', 'Красный', 'Розовый', 'Красный']"
169,5,3,218,72,54,"['Red', 'Orange', 'Red', 'Red', 'Orange', 'Red', 'Red', 'Red', 'Red', 'Orange', 'Red', 'Red', 'Red', 'Pink', 'Red', 'Red', 'Brown', 'Red', 'Red', 'Red', 'Orange']","['Красный', 'Красный', 'Красный', 'Красный', 'Красный', 'Оранжевый', 'Оранжевый', 'Красный', 'Красный', 'Красный', 'Оранжевый']"
170,5,4,220,72,0,"['Orange', 'Orange', 'Orange', 'Red', 'Red', 'Orange', 'Orange', 'Orange', 'Red', 'Red', 'Orange', 'Orange', 'Orange', 'Orange', 'Beige', 'Red', 'Orange', 'Red', 'Orange']","['Оранжевый', 'Красный', 'Красный', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Красный', 'Оранжевый', 'Оранжевый', 'Оранжевый']"
171,5,5,202,90,0,"['Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Gold', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Brown']","['Оранжевый', 'Коричневый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Бежевый', 'Оранжевый', 'Коричневый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый']"
172,5,6,187,100,0,"['Brown', 'Gold', 'Orange', 'Brown', 'Orange', 'Orange', 'Brown', 'Brown', 'Gold', 'Brown', 'Brown', 'Orange', 'Orange', 'Brown', 'Brown', 'Orange', 'Orange', 'Brown', 'Gold']","['Коричневый', 'Коричневый', 'Оранжевый', 'Оранжевый', 'Коричневый', 'Коричневый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Коричневый', 'Коричневый', 'Оранжевый']"
173,5,7,174,108,0,"['Brown', 'Brown', 'Gold', 'Brown', 'Brown', 'Orange', 'Brown', 'Brown', 'Brown', 'Brown', 'Brown', 'Gold', 'Gold', 'Yellow', 'Brown', 'Brown', 'Gold', 'Brown', 'Brown', 'Brown']","['Коричневый', 'Коричневый', 'Желтый', 'Коричневый', 'Коричневый', 'Коричневый', 'Коричневый', 'Коричневый', 'Коричневый', 'Коричневый', 'Коричневый', 'Коричневый', 'Оранжевый']"
174,5,8,166,113,0,"['Brown', 'Gold', 'Brown', 'Gold', 'Brown', 'Beige', 'Brown', 'Gold', 'Brown', 'Gold', 'Gold', 'Gold', 'Brown', 'Yellow', 'Brown', 'Yellow', 'Gold', 'Brown']","['Коричневый', 'Коричневый', 'Желтый', 'Желтый', 'Коричневый', 'Коричневый', 'Желтый', 'Коричневый', 'Коричневый', 'Коричневый', 'Коричневый', 'Оранжевый']"
175,5,9,154,118,14,"['Yellow', 'Brown', 'Brown', 'Brown', 'Brown', 'Green', 'Gold', 'Brown', 'Black', 'Brown', 'Brown', 'Gold', 'Gold', 'Green', 'Gold', 'Brown', 'Gold', 'Brown', 'Green']","['Коричневый', 'Зеленый', 'Желтый', 'Желтый', 'Бежевый', 'Желтый', 'Коричневый', 'Бежевый', 'Коричневый', 'Коричневый', 'Желтый', 'Желтый']"
176,5,10,146,121,0,"['Brown', 'Green', 'Gold', 'Gold', 'Gold', 'Brown', 'Brown', 'Green', 'Gold', 'Brown', 'Brown', 'Green', 'Brown', 'Green', 'Gold', 'Brown', 'Brown', 'Green', 'Green']","['Коричневый', 'Коричневый', 'Бежевый', 'Желтый', 'Коричневый', 'Коричневый', 'Коричневый', 'Зеленый', 'Коричневый', 'Коричневый', 'Коричневый', 'Желтый']"
177,5,11,138,124,0,"['Beige', 'Brown', 'Green', 'Brown', 'Brown', 'Brown', 'Green', 'Yellow', 'Gray', 'Green', 'Brown', 'Green', 'Green', 'Green', 'Green', 'Green', 'Brown', 'Green', 'Gold', 'Green']","['Коричневый', 'Зеленый', 'Желтый', 'Желтый', 'Зеленый', 'Зеленый', 'Зеленый', 'Коричневый', 'Коричневый', 'Зеленый', 'Коричневый', 'Желтый']"
178,5,12,129,127,0,"['Beige', 'Brown', 'Yellow', 'Green', 'Green', 'Green', 'Green', 'Green', 'Brown', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Gold', 'Green', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
179,5,13,118,130,1,"['Green', 'Beige', 'Beige', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
180,5,14,105,133,24,"['Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Оранжевый', 'Зеленый', 'Зеленый', 'Зеленый']"
181,5,15,74,138,11,"['Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
182,5,16,0,144,24,"['Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
183,5,17,0,146,70,"['Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
184,5,18,0,144,95,"['Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
185,5,19,0,144,105,"['Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green']","['Бирюзовый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Коричневый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
